indicativo,p_max,n_fog,inso,nw_55,tm_min,ta_max,ts_min,nt_30,w_racha,np_100,p_sol,nw_91,np_001,ta_min,np_300,evap,p_mes,n_tor,w_med,nt_00,ti_max,tm_mes,tm_max,np_010,fecha,n_gra,n_llu,n_nie,w_rec,n_cub,q_max,q_med,nv_0050,n_des,n_nub,nv_1000,nv_0100,q_min,hr,q_mar,e,glo
6155A,0.0(--),0,12,0,22.4,40.0(26),26.4,15,32/13.9(03),0,83,0,0,20.0(01),0,2079,0,0,16,0,27,27,31.7,0,2008-07,0,0,0,362,0,1023.4(15),1014.1,0,19,12,0,0,1007.1(12),57,1014.9,204,NA
6155A,0.0(--),0,11.2,1,22.7,40.0(12),27.6,18,29/16.9(15),0,83,0,0,19.4(16),0,1693,0,0,15,0,28.6,27.5,32.2,0,2008-08,0,0,0,343,0,1018.8(02),1013.3,0,18,13,0,0,1005.0(11),58,1014.1,210,NA
6155A,18.2(23),0,7.2,2,19.8,34.6(04),23.2,10,14/20.0(29),3,58,0,7,16.4(30),0,1137,59.2,3,12,0,22,23.7,27.6,6,2008-09,0,11,0,304,5,1019.6(14),1014,0,5,20,0,0,1008.1(04),65,1014.8,189,NA
6155A,109.4(31),0,5.9,4,15.8,28.7(03),21.6,0,08/24.2(11),2,53,0,12,7.0(30),1,634,138.5,2,13,0,16,19.8,23.8,7,2008-10,0,13,0,331,4,1022.6(25),1015.8,0,4,23,0,0,997.7(31),69,1016.6,159,NA
6155A,30.3(01),0,6.8,3,9.1,22.6(22),13.6,0,32/20.6(24),4,66,0,9,4.6(28),1,722,82.4,1,14,0,9.8,13.8,18.5,6,2008-11,0,10,0,385,4,1029.2(09),1016.8,0,8,18,0,0,1001.0(01),66,1017.6,106,NA
6155A,9.3(28),1,5.1,7,8.1,20.4(06),14.4,0,31/19.2(14),0,53,0,8,3.4(11),0,625,25.1,0,15,0,11.6,12,15.9,6,2008-12,0,12,0,419,5,1031.6(20),1018.4,0,9,17,0,0,1002.5(14),66,1019.2,96,NA
6155A,109.4(31/oct),8,8.3,46,14.4,40.0(26/jul),27.6,54,08/24.2(11/oct),13,67,0,65,3.4(11/dic),2,14942,437.9,11,15,0,9.8,19,23.6,47,2008-13,0,82,0,368,41,1034.2(27/ene),1016.3,0,113,212,2,0,997.7(31/oct),62,1017.1,143,NA
6155A,14.8(04),0,5.7,6,7.2,22.2(23),13,0,31/20.6(21),1,57,0,10,0.8(10),0,783,46.7,0,15,0,9,11.5,15.8,8,2009-01,0,11,0,407,7,1027.9(12),1017.1,0,6,18,0,0,1005.4(25),63,1018,90,NA
6155A,63.6(01),0,6.7,4,8.5,22.2(23),14,0,10/18.1(01),3,62,0,7,4.8(08),1,538,104.4,3,13,0,13.2,12.6,16.7,5,2009-02,0,8,0,346,4,1029.6(22),1015.6,0,7,17,0,0,986.6(01),68,1016.5,101,NA
6155A,48.5(02),0,7.5,6,9.9,23.4(28),14,0,29/23.3(05),1,62,0,6,6.4(23),1,894,59.5,0,16,0,14.4,14.4,19,4,2009-03,0,9,0,379,7,1024.8(12),1015.7,0,6,18,0,0,996.9(28),67,1016.5,114,NA
6155A,9.6(17),2,9.4,4,10.8,26.8(21),15.2,0,31/16.9(30),0,71,0,7,6.5(01),0,1278,20.6,0,16,0,16,16.3,21.8,3,2009-04,0,8,0,388,2,1023.4(19),1014.8,0,4,24,1,0,1007.4(14),56,1015.7,105,NA
6155A,1.5(09),0,11.2,0,15.1,31.6(26),19.2,1,30/15.0(14),0,80,0,2,11.0(07),0,1380,2.9,2,14,0,19.4,20.2,25.3,2,2009-05,0,3,0,337,0,1024.6(06),1015.8,0,12,19,0,0,1007.9(22),56,1016.6,138,NA
6155A,0.2(14),1,11.1,0,19.6,36.2(24),23.2,11,28/14.4(05),0,76,0,1,16.5(07),0,1357,0.2,0,14,0,24.4,24.4,29.3,0,2009-06,0,2,0,337,0,1019.8(10),1014.4,0,12,18,0,0,1008.4(04),59,1015.2,183,NA
6155A,0.0(--),1,11.9,1,22,41.8(24),27.8,17,02/16.4(18),0,83,0,0,18.6(10),0,2206,0,0,16,0,26.2,27.1,32.3,0,2009-07,0,0,0,359,0,1021.6(18),1015.1,0,19,12,0,0,1003.8(29),54,1015.9,188,NA
6155A,0.0(--),0,11.3,1,21.9,38.0(07),26.4,26,17/18.6(29),0,84,0,0,18.8(09),0,1474,0,0,13,0,27.8,26.6,31.3,0,2009-08,0,0,0,299,0,1019.5(21),1014.4,0,19,12,0,0,1007.0(24),60,1015.2,213,NA
6155A,6.3(26),0,8.2,0,19.5,35.4(03),24.8,4,21/14.4(17),0,66,0,4,14.2(18),0,1233,8.6,3,12,0,24.6,23.8,28.1,2,2009-09,0,8,0,291,2,1021.2(21),1015.6,0,6,22,0,0,1006.9(16),62,1016.4,182,NA
6155A,23.9(20),0,8.6,2,16.4,33.0(03),21,4,33/19.7(22),1,76,0,2,13.4(18),0,1045,27.5,0,12,0,21.8,21.4,26.3,2,2009-10,0,3,0,297,1,1024.0(31),1016.1,0,7,23,0,0,1002.3(20),66,1016.9,166,NA
6155A,10.7(29),0,6.8,10,12.9,28.8(07),17.8,0,31/20.0(07),1,66,0,5,8.0(24),0,1283,13.1,0,17,0,15.8,17.7,22.4,2,2009-11,0,5,0,451,2,1029.9(23),1018.6,0,7,21,0,0,1006.3(29),60,1019.5,119,NA
6155A,79.3(21),0,3.8,9,10.2,23.0(08),16.6,0,22/21.7(23),8,39,0,12,5.0(15),4,938,314.3,5,NA,0,11.6,14.3,18.3,11,2009-12,0,14,0,426,7,1027.4(10),1012.2,0,4,20,0,0,994.6(24),66,1013.1,111,NA
6155A,79.3(21/dic),4,8.5,43,14.5,41.8(24/jul),27.8,63,29/23.3(05/mar),15,69,0,56,0.8(10/ene),6,14409,597.8,13,NA,0,9,19.2,23.9,39,2009-13,0,71,0,360,32,1029.9(23/nov),1015.5,0,109,224,1,0,986.6(01/feb),61,1016.3,143,NA
6155A,60.4(07),1,5,7,8.6,20.7(02),12.2,0,31/20.6(08),5,50,0,10,2.0(09),2,833,194.3,3,16,0,6.8,12.5,16.4,9,2010-01,0,13,0,412,4,1025.9(16),1015,0,4,23,0,0,991.8(07),64,1015.8,96,NA
6155A,95.3(15),1,4.7,8,9.7,22.6(23),13.4,0,11/21.7(16),6,44,0,18,4.6(14),2,585,234.4,2,14,0,10.2,13.6,17.4,16,2010-02,0,18,0,355,10,1024.6(05),1009,0,0,18,1,0,987.9(16),70,1009.8,112,NA
6155A,18.6(02),0,5.6,6,10.3,22.4(29),15,0,11/22.8(06),4,46,0,13,4.8(14),0,680,89.2,1,14,0,14.6,14.3,18.3,11,2010-03,0,13,0,346,12,1028.0(18),1017.1,0,0,19,0,0,999.3(08),66,1017.9,111,NA
6155A,26.7(18),1,7.9,3,13,25.4(23),17.4,0,10/19.7(15),5,60,0,6,8.0(03),0,790,111,2,15,0,16.8,17.1,21.3,5,2010-04,0,9,0,356,5,1024.6(04),1015.4,0,3,22,0,0,1004.0(12),65,1016.3,130,NA
6155A,9.2(10),0,11.1,3,14.4,31.6(31),20.4,3,32/20.0(14),0,79,0,3,10.6(13),0,1638,18.3,1,16,0,21,19.6,24.7,3,2010-05,0,7,0,361,2,1025.5(18),1014.4,0,16,13,0,0,1004.3(03),49,1015.2,117,NA
6155A,3.4(09),0,11.6,1,18.4,33.4(06),21.4,7,24/19.7(09),0,79,0,1,15.6(11),0,1330,3.4,0,NA,0,22.8,23.1,27.9,1,2010-06,0,1,0,315,2,1019.5(29),1013.2,0,12,16,0,0,1003.0(09),55,1014,160,NA
6155A,0.2(02),1,11.2,0,22.2,38.8(14),25,18,10/15.0(03),0,78,0,1,19.8(01),0,1444,0.2,1,13,0,28,26.7,31.1,0,2010-07,0,3,0,294,1,1020.6(18),1014.5,0,21,9,0,0,1006.6(21),58,1015.3,207,NA
6155A,23.9(18),0,10.2,0,23.3,39.8(24),27,25,30/12.8(24),1,75,0,1,20.8(27),0,1274,23.9,2,13,0,29,27.6,31.8,1,2010-08,0,3,0,301,0,1023.4(21),1014.4,0,16,15,0,0,1009.1(05),63,1015.2,229,NA
6155A,7.9(16),0,9.4,0,19.9,32.6(07),22.6,7,11/15.0(20),0,75,0,3,15.6(30),0,1190,14.4,2,14,0,24.4,24.2,28.5,3,2010-09,0,6,0,320,2,1023.4(13),1014.7,0,8,20,0,0,1006.6(26),62,1015.5,188,NA
6155A,28.5(09),0,7.9,2,14.8,27.8(15),18.6,0,32/20.0(31),2,70,0,5,9.4(21),0,971,45.4,2,14,0,21,19.5,24.2,3,2010-10,0,6,0,348,2,1026.3(27),1013,0,6,23,0,0,997.5(11),65,1013.8,146,NA
6155A,72.0(27),0,6.2,11,11.1,25.0(02),15.2,0,10/20.6(27),3,60,0,10,8.4(29),2,971,142.8,0,15,0,12.8,15.4,19.8,6,2010-11,0,11,0,401,5,1027.9(04),1013.2,0,7,18,0,0,994.3(27),64,1014,113,NA
6155A,132.7(18),0,4.1,8,9.9,23.4(09),16.2,0,28/19.2(23),8,42,0,12,3.6(04),3,691,329.7,4,12,0,12.4,13.4,17,11,2010-12,0,15,0,324,11,1025.9(10),1013.3,0,1,19,0,0,994.1(22),73,1014.2,116,NA
6155A,132.7(18/dic),4,7.9,49,14.6,39.8(24/ago),27,60,11/22.8(06/mar),34,63,0,83,2.0(09/ene),9,12397,1207,20,NA,0,6.8,18.9,23.2,69,2010-13,0,105,0,344,56,1028.0(18/mar),1013.9,0,94,215,1,0,987.9(16/feb),63,1014.8,144,NA
6155A,17.3(26),3,4.9,4,9,20.6(06),12.3,0,11/20.6(24),1,49,0,8,5.4(30),0,626,34.4,0,NA,0,12.4,13,16.9,6,2011-01,0,9,0,381,5,1029.5(17),1018.2,0,4,22,0,0,997.1(27),71,1019,108,NA
6155A,14.8(15),0,8.4,6,8.1,26.8(26),13.6,0,30/19.7(17),1,77,0,3,3.6(05),0,878,21.9,1,16,0,15,13.2,18.3,3,2011-02,0,4,0,405,1,1034.2(04),1020.9,0,10,17,0,0,1002.6(16),64,1021.7,100,NA
6155A,29.3(11),0,6.5,4,10.3,25.8(30),15.4,0,15/18.1(10),6,54,0,10,3.2(03),0,840,122.6,2,15,0,13.4,14.5,18.6,8,2011-03,0,13,0,379,7,1026.2(31),1016.6,0,4,20,0,0,999.1(14),66,1017.4,112,NA
6155A,15.9(29),0,7,2,13.8,32.0(09),18.8,2,10/20.6(06),2,54,0,10,10.4(01),0,845,54.3,1,12,0,16.8,18.1,22.3,8,2011-04,0,11,0,286,9,1025.5(01),1014.2,0,9,12,1,0,1001.4(30),66,1015,138,NA
6155A,7.8(18),1,8.5,0,16.1,30.2(31),20,2,28/14.4(12),0,60,0,7,10.8(01),0,946,19.9,2,12,0,20,20.2,24.4,3,2011-05,0,10,0,275,7,1024.6(16),1016.2,0,5,19,1,0,997.3(01),65,1017,160,NA
6155A,0.3(07),4,10.6,0,19.3,37.2(18),23.4,4,31/13.9(07),0,72,0,1,15.8(05),0,1221,0.3,1,13,0,23,23.4,27.4,0,2011-06,0,3,0,310,1,1022.2(25),1015.9,0,11,18,0,0,1007.1(06),64,1016.7,190,NA
6155A,0.0(--),0,11.9,1,21.9,38.6(07),25,16,33/15.6(19),0,82,0,0,19.4(09),0,1931,0,0,15,0,27.4,26.7,31.6,0,2011-07,0,0,0,339,0,1019.4(15),1012.6,0,22,9,0,0,1007.3(17),56,1013.4,196,NA
6155A,1.0(18),0,10.8,1,23.7,39.4(06),29,20,31/15.6(26),0,80,0,1,19.8(13),0,1810,1,0,14,0,28.5,27.8,31.8,1,2011-08,0,1,0,334,0,1026.3(25),1013.6,0,18,13,0,0,1000.1(01),59,1014.4,217,NA
6155A,0.8(23),0,9.4,0,20,36.8(11),23.1,9,33/14.4(18),0,76,0,1,16.0(25),0,1683,0.8,0,12,0,23.4,24.5,29.1,0,2011-09,0,2,0,299,1,1023.9(06),1016.7,0,14,15,0,0,1009.3(01),58,1017.5,180,NA
6155A,21.4(24),0,8.1,0,16.3,29.5(13),22.2,0,29/13.9(28),4,72,0,4,11.6(26),0,991,60.6,2,12,0,19.6,20.6,24.9,4,2011-10,0,5,0,275,1,1025.8(10),1018,0,11,19,0,0,1001.4(24),67,1018.9,165,NA
6155A,36.0(02),0,6.1,1,11.5,23.2(13),17.4,0,29/15.6(22),4,60,0,8,6.2(29),2,740,137.9,4,NA,0,16.6,15.7,19.9,6,2011-11,0,8,0,277,7,1027.8(26),1016.3,0,6,17,0,0,992.2(04),67,1017.2,122,NA
6155A,0.5(02),2,7.1,7,9,22.5(21),14,0,30/19.2(16),0,73,0,1,4.0(20),0,1120,0.5,0,15,0,15.4,13.6,18.3,0,2011-12,0,2,0,398,1,1033.1(28),1025.5,0,14,16,1,0,1017.2(02),59,1026.3,95,NA
6155A,36.0(02/nov),10,8.3,26,14.9,39.4(06/ago),29,53,11/20.6(24/ene),18,67,0,54,3.2(03/mar),2,13631,454.2,13,NA,0,12.4,19.3,23.6,39,2011-13,0,68,0,330,40,1034.2(04/feb),1017.1,0,128,197,3,0,992.2(04/nov),64,1017.9,149,NA
6155A,16.5(27),2,7,5,7.5,25.8(06),13.4,0,29/16.4(05),1,70,0,2,4.4(05),0,1042,20,1,12,0,11.8,12.6,17.6,2,2012-01,1,3,0,327,1,1037.5(19),1024.6,0,13,17,2,0,1008.5(16),65,1025.4,95,NA
6155A,5.4(16),0,8.9,5,5.8,23.5(26),11.8,0,33/17.5(03),0,82,0,3,0.0(09),0,1555,7.7,2,17,1,10.5,11.1,16.4,2,2012-02,0,4,0,401,1,1033.4(05),1022.4,0,14,14,0,0,1009.0(02),48,1023.3,66,NA
6155A,10.2(19),2,8.5,2,9.2,23.4(04),14.4,0,28/19.2(20),1,71,0,4,4.6(11),0,1023,18.4,1,14,0,16.4,14.3,19.4,3,2012-03,0,6,0,317,2,1031.9(10),1022.8,0,8,20,2,0,1009.4(31),60,1023.6,102,NA
6155A,17.7(29),0,8.6,6,12.4,27.6(22),17.6,0,30/18.6(18),2,65,0,7,7.0(06),0,1893,43.2,0,16,0,15.4,17.3,22.3,5,2012-04,0,10,0,355,4,1020.2(17),1011.3,0,4,22,0,0,1002.3(12),51,1012.1,101,NA
6155A,3.1(05),0,11,1,15,31.5(26),19.6,3,29/15.6(27),0,77,0,3,8.5(01),0,1505,5.6,0,13,0,18.5,20,25,2,2012-05,0,3,0,277,0,1026.6(13),1015.7,0,9,22,0,0,1005.9(18),55,1016.5,134,NA
6155A,0.0(--),2,11.1,2,20.8,37.4(07),24.4,16,29/16.4(12),0,76,0,0,16.6(13),0,2220,0,0,15,0,22,25.5,30.2,0,2012-06,0,0,0,331,0,1021.6(23),1014.2,0,14,16,0,0,1005.3(07),55,1015,181,NA
6155A,0.0(--),0,11.9,0,21.8,40.2(14),26.3,14,32/14.4(14),0,83,0,0,18.3(02),0,2028,0,1,15,0,27.4,26.5,31.1,0,2012-07,0,0,0,316,0,1025.2(17),NA,0,22,9,0,0,1008.2(05),56,NA,196,NA
6155A,0.0(--),2,10.1,2,23.1,41.4(12),27.2,22,28/15.6(25),0,75,0,0,19.2(07),0,1962,0,0,13,0,27,27.8,32.6,0,2012-08,0,0,0,302,0,1020.7(31),NA,0,16,15,0,0,1008.1(05),58,NA,215,NA
6155A,48.0(27),0,8.3,1,19.8,34.2(13),22.4,4,08/16.1(13),1,66,0,4,16.9(16),1,912,61.1,1,12,0,20.8,23.8,27.8,4,2012-09,0,5,0,255,4,1026.2(08),NA,0,9,17,0,0,1006.9(26),68,NA,197,NA
6155A,78.7(25),5,6.7,1,15.2,29.6(11),22,0,29/16.9(15),3,59,0,6,11.0(21),1,847,131.5,0,10,0,16.2,19.2,23.2,5,2012-10,0,7,0,243,5,1021.5(02),NA,0,4,22,1,0,997.1(30),69,NA,155,NA
6155A,42.2(08),0,4.4,5,12.5,25.2(04),17.8,0,35/19.2(11),7,43,0,16,5.4(30),3,663,196,3,NA,0,11.8,15.7,18.9,12,2012-11,0,16,0,291,11,1022.3(23),NA,0,4,15,0,0,1003.1(01),76,NA,139,NA
6155A,7.5(07),5,5.9,7,9.2,22.5(22),13.7,0,29/19.2(30),0,61,0,4,2.4(29),0,734,12.3,1,12,0,13.6,13.7,18.2,3,2012-12,0,4,0,320,3,1032.0(28),NA,0,7,21,1,0,1004.5(01),71,NA,113,NA
6155A,78.7(25/oct),18,8.5,37,14.4,41.4(12/ago),27.2,59,28/19.2(20/mar),15,69,0,49,0.0(09/feb),5,16384,495.8,10,NA,1,10.5,19,23.6,38,2012-13,1,58,0,311,31,1037.5(19/ene),NA,0,124,210,6,0,997.1(30/oct),61,NA,141,NA
6155A,19.2(19),0,6.6,12,10,24.4(30),14.2,0,21/27.8(19),1,66,1,6,4.8(30),0,1379,27.3,0,18,0,14.4,14.2,18.4,3,2013-01,0,9,0,448,3,1037.6(04),NA,0,6,22,0,0,991.9(19),61,NA,100,NA
6155A,59.8(19),0,7.4,8,7.7,24.4(01),11.7,0,30/20.6(02),4,69,0,5,2.8(26),1,1055,103.6,0,16,0,13.6,12.7,17.6,5,2013-02,0,6,0,405,3,1030.7(04),NA,0,11,14,0,0,1003.9(23),61,NA,92,NA
6155A,33.7(05),0,5.8,5,10.9,24.6(29),15.9,0,24/19.2(07),5,48,0,18,5.3(02),1,639,113.1,1,13,0,14.4,15.1,19.3,13,2013-03,0,18,0,280,12,1023.9(14),NA,0,2,17,0,0,993.9(04),65,NA,112,NA
6155A,6.8(29),1,8.3,2,12.9,27.0(11),16.4,0,30/16.4(28),0,63,0,8,8.4(08),0,1119,23.2,0,13,0,16.5,17.1,21.3,5,2013-04,0,9,0,289,3,1023.1(15),NA,0,3,24,1,0,1002.1(04),62,NA,122,NA
6155A,9.3(20),0,9.2,2,14.5,33.6(09),18.9,5,28/16.4(18),0,65,0,4,7.8(01),0,1739,10.1,0,14,0,19,19.6,24.7,1,2013-05,0,6,0,280,4,1021.9(04),NA,0,6,21,0,0,1002.3(15),53,NA,121,NA
6155A,0.0(--),0,12.2,1,17.1,31.6(14),20.5,6,24/16.1(18),0,84,0,0,13.3(04),0,1644,0,0,13,0,23.7,22.1,27,0,2013-06,0,0,0,297,0,NA,NA,0,18,12,0,0,NA,51,NA,145,NA
6155A,0.0(--),0,11.9,0,20.4,35.3(10),22.5,21,27/12.8(29),0,83,0,0,18.3(14),0,1654,0,0,14,0,26.7,25.5,30.5,0,2013-07,0,0,0,260,0,1021.7(29),1015.8,0,24,7,0,0,1007.9(26),52,1016.6,180,NA
6155A,4.3(30),0,10.7,2,22.1,37.6(07),24.5,25,13/15.6(30),0,79,0,2,19.7(12),0,1337,7.5,1,13,0,29,26.6,31,2,2013-08,0,2,0,254,0,1021.4(09),1014.7,0,16,15,0,0,1007.3(26),NA,1015.5,220,NA
6155A,18.9(27),0,8.5,0,19.8,35.4(17),23.8,5,28/15.0(19),1,68,0,4,16.6(25),0,992,25.6,1,12,0,24.4,24.3,28.8,2,2013-09,0,4,0,245,3,1022.2(22),1015.8,0,6,21,0,0,1009.6(30),66,1016.5,203,NA
6155A,10.6(22),1,7.7,1,17,33.0(01),22.5,2,29/17.5(29),1,68,0,3,10.3(31),0,1074,14.7,1,12,0,22,21.9,26.6,2,2013-10,0,4,0,246,2,1024.0(31),1016.2,0,4,25,0,0,1006.6(02),NA,1017,171,NA
6155A,3.1(17),0,6.5,5,11.2,28.5(03),19.4,0,30/18.9(05),0,63,0,2,3.8(26),0,1873,3.4,0,18,0,15.5,16.2,21.1,1,2013-11,0,3,0,434,0,1026.3(10),1017.7,0,7,23,0,0,1009.1(22),52,1018.5,95,NA
6155A,17.9(25),0,5.4,7,8.8,20.4(13),13.5,0,20/20.6(25),1,55,0,5,3.2(30),0,875,26,0,14,0,15.7,13.5,18.1,3,2013-12,0,5,0,364,3,1032.9(15),1024,0,6,22,0,0,1003.5(25),66,1024.9,104,NA
6155A,59.8(19/feb),2,8.4,45,14.4,37.6(07/ago),24.5,64,21/27.8(19/ene),13,68,1,57,2.8(26/feb),2,15380,354.5,4,14,0,13.6,19.1,23.7,37,2013-13,0,66,0,317,33,NA,NA,0,109,223,1,0,NA,NA,NA,139,NA
6155A,17.7(17),0,5.2,6,9.4,23.8(26),13.2,0,29/20.6(27),1,52,0,9,4.7(09),0,1101,40.2,0,15,0,13.2,13.8,18.1,5,2014-01,0,10,0,365,5,1028.1(24),1016.7,0,2,24,0,0,989.8(19),65,1017.6,102,NA
6155A,8.4(09),1,5.3,7,9.4,23.1(13),13.7,0,22/21.7(09),0,49,0,8,4.5(03),0,1136,18.4,0,16,0,13.9,14,18.5,3,2014-02,0,11,0,378,5,1030.5(27),1018.4,0,3,20,0,0,1002.9(09),NA,1019,99,NA
6155A,17.1(29),0,8.1,9,10.3,24.6(24),16.3,0,29/24.2(26),1,67,0,2,7.0(08),0,1289,24.8,0,18,0,15.9,15.3,20.2,2,2014-03,0,3,0,382,2,1027.0(15),1018,0,5,24,0,0,999.1(29),57,1018.8,101,NA
6155A,16.0(21),1,8.7,3,13.8,30.1(27),19.1,1,29/16.1(05),2,66,0,4,10.4(01),0,1600,38.1,0,14,0,17.4,18.9,24,4,2014-04,0,5,0,309,4,1023.6(25),1014.9,0,10,16,0,0,1001.3(02),NA,1015.7,124,NA
6155A,9.7(31),0,10.2,1,16,33.4(30),21.7,3,17/16.1(21),0,72,0,3,12.4(06),0,1620,12.7,0,15,0,22.6,20.7,25.3,2,2014-05,0,3,0,321,1,1024.8(14),1015,0,11,19,0,0,1006.1(08),54,1015.8,137,NA
6155A,3.7(01),0,10.4,1,19.5,35.7(28),23.3,16,28/15.3(07),0,71,0,3,15.3(02),0,2212,4.5,1,15,0,25.2,24.7,29.9,1,2014-06,0,3,0,337,1,1021.5(11),1014.5,0,13,16,0,0,1007.1(15),48,1015.3,152,NA
6155A,0.0(--),1,11.6,1,20.9,37.2(24),24.2,19,27/15.3(20),0,81,0,0,18.4(01),0,1897,0,0,15,0,26.1,26.2,31.3,0,2014-07,0,0,0,321,0,1018.0(21),1013.7,0,17,14,0,0,1006.6(24),NA,1014.5,176,NA
6155A,0.0(--),1,11,3,22.1,40.0(11),27.6,24,19/21.7(10),0,82,0,0,18.0(07),0,1940,0,0,14,0,26,27.2,32.3,0,2014-08,0,0,0,304,0,1018.7(24),1013.2,0,21,10,1,0,1008.7(02),NA,1014,191,NA
6155A,25.2(27),0,7.6,3,20.9,38.4(03),26.9,16,26/20.6(06),2,61,0,4,17.4(26),0,1889,43.2,0,14,0,23,26,31,2,2014-09,0,4,0,304,2,1021.5(29),1013.6,0,9,19,0,0,1007.7(03),NA,1014.4,170,NA
6155A,19.5(10),0,7.6,1,16.9,36.3(22),21.9,3,25/21.1(10),4,68,0,5,12.9(25),0,910,67.3,3,10,0,21.3,21.8,26.7,4,2014-10,0,5,0,229,1,1023.9(21),1016.4,0,6,24,0,0,1007.3(14),NA,1017.4,169,NA
6155A,41.5(27),NA,4.8,5,12.7,25.0(03),16.9,0,08/19.7(22),4,47,0,12,7.3(18),1,915,117.3,NA,13,0,15.6,16.8,20.9,10,2014-11,NA,NA,NA,300,8,1023.6(01),1010.9,0,4,18,0,0,984.4(28),NA,1011.7,131,NA
6155A,5.5(14),0,5.8,3,8.2,21.0(01),14.9,0,28/16.9(16),0,59,0,3,1.5(31),0,1040,6.6,0,14,0,14.2,13,17.7,2,2014-12,0,3,0,367,4,1034.0(30),1022.7,0,8,19,0,0,1002.0(01),NA,1023.6,99,NA
6155A,41.5(27/nov),NA,8,43,15,40.0(11/ago),27.6,82,29/24.2(26/mar),14,65,0,53,1.5(31/dic),1,17549,373.1,NA,14,0,13.2,19.9,24.7,35,2014-13,NA,NA,NA,326,33,1034.0(30/dic),1015.7,0,109,223,1,0,984.4(28/nov),NA,1016.5,138,NA
6155A,32.8(18),0,6.4,6,7.1,23.6(11),14.4,0,32/20.6(31),1,64,0,6,3.6(03),1,1135,50.4,0,15,0,10.9,12.3,17.5,4,2015-01,0,6,0,346,3,1042.7(09),1024,0,11,17,0,0,1002.1(31),66,1024.8,96,NA
6155A,19.2(17),0,6.6,11,8.2,23.8(26),12.4,0,27/20.0(26),1,61,0,4,1.2(06),0,1357,30.4,0,18,0,12.3,12.6,16.9,4,2015-02,0,4,0,423,2,1030.6(25),1018.8,0,3,23,0,0,1003.2(04),59,1019.6,88,NA
6155A,19.6(17),1,7,4,10.7,31.0(29),19.7,2,33/17.5(25),3,59,0,8,3.4(08),0,1195,73.6,0,16,0,13.9,15.5,20.3,8,2015-03,0,8,0,348,6,1031.7(06),1018.4,0,10,15,0,0,1000.4(24),NA,1019.3,114,NA
6155A,13.0(08),1,6.3,2,13.7,29.1(29),17.6,0,11/18.6(08),1,48,0,6,11.1(02),0,963,14.8,2,13,0,17.5,17.8,21.8,1,2015-04,0,7,0,273,6,1025.9(02),1017.8,0,1,23,0,0,1008.9(05),67,1018.6,137,NA
6155A,3.5(24),1,9.7,1,16.2,34.9(14),19.3,3,29/16.9(15),0,68,0,1,12.7(07),0,1454,3.5,0,14,0,22.9,21.5,26.7,1,2015-05,0,2,0,278,3,1024.4(13),1016.2,0,11,17,0,0,1005.3(19),NA,1016.9,151,NA
6155A,0.0(--),0,10.1,0,18.5,34.9(23),22.8,9,30/13.9(23),0,69,0,0,15.5(15),0,1873,0,0,13,0,25.9,23.7,28.8,0,2015-06,0,0,0,269,1,1022.0(25),1016.4,0,15,14,0,0,1010.1(11),47,1017.2,147,NA
6155A,0.0(--),1,11,0,23.3,41.2(24),25.7,29,99/12.5(11),0,77,0,0,21.4(01),0,1607,0,0,14,0,28.8,28.3,33.3,0,2015-07,0,0,0,283,0,1019.4(04),1013.7,0,23,8,1,0,1005.2(30),57,1014.5,225,NA
6155A,0.1(09),0,8.5,0,23.8,37.6(13),28.2,28,34/15.0(13),0,63,0,2,19.9(17),0,2037,0.2,0,14,0,28.6,28.1,32.4,0,2015-08,0,3,0,293,3,1019.9(20),1013.9,0,7,21,0,0,1007.3(17),55,1014.7,215,NA
6155A,52.9(07),0,8.5,0,19.7,36.0(22),22.7,9,30/12.8(14),1,69,0,5,15.5(27),1,1576,56.6,1,13,0,23.2,24.4,29,3,2015-09,0,5,0,284,4,1022.5(20),1014.7,0,3,23,0,0,1006.6(16),58,1015.5,175,NA
6155A,20.7(26),0,5,0,16.7,30.1(02),21.3,1,08/12.5(26),2,45,0,9,11.9(30),0,747,47,1,10,0,20.8,20.7,24.7,4,2015-10,0,9,0,222,10,1022.1(01),1014.8,0,1,20,0,0,1007.3(19),74,1015.6,180,NA
6155A,26.2(01),2,7.2,6,12.2,25.2(16),15.8,0,29/18.1(25),2,70,0,3,5.5(24),0,NA,45,0,12,0,17.6,17.1,22,3,2015-11,0,3,0,301,1,1034.8(30),1023.3,0,11,18,0,0,1008.8(01),69,1024.1,136,NA
6155A,0.6(29),1,4.8,0,10,24.1(31),13,0,30/15.0(30),0,49,0,2,6.4(19),0,NA,0.8,0,8,0,18.3,15,19.9,0,2015-12,0,2,0,224,3,1034.7(22),1028.5,0,1,27,1,0,1021.0(13),74,1029.4,126,NA
6155A,52.9(07/sep),7,7.6,30,15,41.2(24/jul),28.2,81,32/20.6(31/ene),11,62,0,46,1.2(06/feb),2,NA,322.3,4,13,0,10.9,19.8,24.4,28,2015-13,0,49,0,295,42,1042.7(09/ene),1018.4,0,97,226,2,0,1000.4(24/mar),NA,1019.2,149,NA
6155A,37.8(29),0,5.2,3,9.2,24.1(04),13.5,0,29/17.5(05),1,52,0,6,5.3(14),1,NA,48,2,12,0,16,14.4,19.6,5,2016-01,0,9,0,296,4,1034.6(30),1023.1,0,2,25,0,0,1006.5(05),67,1024,112,NA
