indicativo,p_max,n_fog,inso,nw_55,tm_min,ta_max,ts_min,nt_30,w_racha,np_100,p_sol,nw_91,np_001,ta_min,np_300,evap,p_mes,n_tor,w_med,nt_00,ti_max,tm_mes,tm_max,np_010,fecha,n_gra,n_llu,n_nie,w_rec,n_cub,q_max,q_med,nv_0050,n_des,n_nub,nv_1000,nv_0100,q_min,hr,q_mar,e,glo
6155A,0.0(--),0,11.1,1,22.2,36.6(25),25.4,28,29/19.2(15),0,82,0,0,17.8(18),0,1681,0,1,14,0,28.2,27.2,32.3,0,2003-08,0,1,0,341,0,1020.8(13),1014.6,0,21,10,0,0,1006.9(28),57,1015.4,212,NA
6155A,4.4(30),0,9.5,2,19.7,35.2(01),24.2,9,31/18.6(09),0,76,0,2,16.0(28),0,1032,4.8,0,13,0,25.8,24,28.4,1,2003-09,0,3,0,316,3,1023.9(20),1017,0,9,18,0,0,1006.2(30),64,1017.8,189,NA
6155A,64.3(06),0,4.3,4,16,26.0(15),19.4,0,24/21.1(31),6,38,0,19,10.8(31),3,522,220.3,6,11,0,17.8,19.4,22.9,15,2003-10,0,21,0,303,9,1022.8(09),1012.9,0,1,21,0,0,995.8(31),77,1013.7,173,NA
6155A,36.3(22),0,5.5,7,11.9,22.6(20),14.8,0,31/19.2(27),3,53,0,9,7.4(26),1,478,77.8,3,13,0,16.6,15.8,19.7,7,2003-11,0,10,0,390,7,1027.2(04),1015.7,0,3,20,0,0,998.1(22),73,1016.5,132,NA
6155A,84.9(04),1,5.4,7,8.5,22.4(15),13.6,0,11/21.7(05),6,55,0,8,3.7(25),3,467,227.2,4,14,0,12.6,12.9,17.3,7,2003-12,1,8,0,402,5,1028.3(23),1019,0,6,20,0,0,1003.7(04),72,1019.8,110,NA
6155A,84.9(04/dic),1,8,53,14.4,40.5(27/jul),25.4,76,32/23.6(31/ene),22,64,0,72,1.6(02/feb),10,11688,776.2,19,14,0,12.2,19,23.5,52,2003-13,1,91,0,368,53,1033.2(14/ene),1016.5,0,117,195,0,0,995.8(31/oct),66,1017.3,151,NA
6155A,1.3(29),3,7.2,15,9.9,22.8(13),15,0,34/23.3(19),0,73,0,4,2.0(20),0,721,2.6,0,18,0,15.4,14.6,19.3,2,2004-01,0,5,0,521,3,1026.8(31),1018.9,0,13,15,0,0,1009.7(28),67,1019.8,113,NA
6155A,51.5(24),2,4.7,4,9.5,22.4(16),14,0,33/19.2(28),3,43,0,8,4.9(28),1,337,98.8,3,14,0,13.6,13.3,17,7,2004-02,0,10,0,351,11,1038.6(04),1019.2,0,3,15,0,0,992.6(21),76,1020,118,NA
6155A,102.1(27),0,6.4,6,10.1,25.0(05),14.6,0,34/19.2(10),4,53,0,8,2.4(03),3,558,269.7,2,13,0,14,14.5,18.9,5,2004-03,0,10,0,349,8,1033.4(03),1019,0,4,19,0,0,997.9(28),72,1019.9,122,NA
6155A,47.4(09),0,9.6,5,10.4,28.4(07),15,0,33/22.8(19),2,72,0,5,7.2(04),1,771,65.7,1,14,0,16.8,15.7,21.1,4,2004-04,0,7,0,361,4,1027.6(03),1013.7,0,10,16,0,0,1002.7(29),62,1014.5,116,NA
6155A,23.2(02),0,9,6,13.3,27.0(31),18.2,0,28/24.2(03),1,63,0,7,9.0(01),0,517,42,0,13,0,15.4,17.7,22,6,2004-05,1,8,0,326,6,1023.4(19),1014.3,0,4,21,0,0,991.3(02),67,1015.1,144,NA
6155A,0.0(--),1,12,1,19.1,33.1(18),22,8,32/18.1(20),0,82,0,0,16.0(16),0,943,0,0,14,0,23.8,23.7,28.4,0,2004-06,0,0,0,322,0,1021.5(10),1016.4,0,18,12,0,0,1009.1(06),60,1017.2,183,NA
6155A,0.1(05),0,11.1,2,21.3,37.0(29),25,12,34/18.6(08),0,77,0,1,16.2(10),0,1223,0.1,0,14,0,25.6,25.5,29.6,0,2004-07,0,1,0,320,0,1020.2(24),1014.7,0,20,11,0,0,1010.2(29),64,1015.5,215,NA
6155A,0.0(--),3,10.6,1,22.2,38.2(16),25.6,22,28/16.4(24),0,78,0,0,19.4(16),0,1656,0,0,14,0,26,27,31.9,0,2004-08,0,1,0,357,0,1019.8(14),1013.7,0,19,12,1,0,1006.2(08),58,1014.5,207,NA
